,player_name,school,conference,GP,Min_per,ORtg,usg,eFG,TS_per,ORB_per,DRB_per,AST_per,TO_per,FTM,FTA,FT_per,2PM,2PA,2P_per,3PM,3PA,3P_per,blk_per,stl_per,ftr,yr,ht,num,porpag,adjoe,pfr,year,pid,type,rec-rk,ast/tov,rimmade,rimmade + rimmiss,midmade,midmade + midmiss,rimmade/(rimmade+rimmiss),midmade/(midmade+mismiss),dunksmade,dunksmiss + dunksmade,dunksmade/(dunksmade+dunksmiss),pick,drtg,adrtg,dporpag,stops,bpm,obpm,dbpm,gbpm,mp,ogbpm,dgbpm,oreb,dreb,treb,ast,stl,blk,pts,pos
47421,Lonzo Ball,UCLA,P12,36,87.6,129.4,20.1,66.8,67.26,3.2,14.3,31.4,18.9,66,98,0.673,109,149,0.732,80,194,0.41200000000000003,2.1,2.8,28.6,Fr,6-6,2,5.63036,133.219,2.1,2017,44633,all,99.6,3.07867505,94.0,120.0,15.0,29.0,0.7833,0.5172,37.0,40.0,0.925,2.0,99.8459,95.9566,4.0114,275.837,11.0424,8.18346,2.85898,11.0267,35.0556,7.673,3.35373,0.9167000000000001,5.0833,6.0,7.6111,1.8333,0.7778,14.5556,Scoring PG
47513,Miles Bridges,Michigan St.,B10,34,75.9,116.2,25.0,53.6,57.26,5.2,18.1,16.6,14.7,93,110,0.845,138,262,0.527,71,194,0.366,2.5,1.2,24.1,So,6-7,22,4.41314,128.123,2.0,2018,44723,all,97.8,1.34329644,84.0,128.0,54.0,137.0,0.6563,0.3942,30.0,35.0,0.8571000000000001,12.0,94.6045,90.6491,4.20958,212.43,7.37899,4.75891,2.62008,7.61598,31.3824,5.77261,1.8433700000000002,1.2647,5.7059,6.9706,2.6471,0.6176,0.7647,17.1176,Wing F
47762,Lauri Markkanen,Arizona,P12,37,77.0,130.1,21.5,58.4,63.45,10.0,17.5,5.6,9.8,137,164,0.835,116,213,0.545,69,163,0.423,1.8,0.8,43.6,Fr,7-0,10,5.46917,138.089,2.6,2017,44973,all,93.0,0.8000185,65.0,100.0,51.0,113.0,0.65,0.45130000000000003,20.0,24.0,0.8333,7.0,99.0583,94.657,3.66462,203.764,7.7758400000000005,6.9491,0.8267359999999999,8.5871,30.8108,7.75985,0.827249,2.3784,4.8108,7.1892,0.8649,0.40540000000000004,0.5135000000000001,15.5676,Stretch 4
47900,Kevin Huerter,Maryland,B10,31,85.5,116.3,21.5,61.1,63.6,3.9,13.1,20.0,20.4,74,97,0.763,87,145,0.6000000000000001,70,169,0.41400000000000003,2.1,1.1,30.9,So,6-7,4,4.39099,124.465,2.8,2018,45160,all,87.2,1.35,54.0,76.0,32.0,67.0,0.7105,0.4776,5.0,5.0,1.0,19.0,103.074,98.1776,3.7532,179.484,7.22188,5.43968,1.7822,6.90707,34.3438,5.46654,1.44053,0.9688,4.0625,5.0312,3.375,0.625,0.6562,14.75,Wing G
47909,Josh Jackson,Kansas,B12,35,74.0,108.2,27.3,55.2,55.95,8.7,17.4,18.2,18.4,98,173,0.5660000000000001,186,339,0.549,34,90,0.378,3.5,3.1,40.3,Fr,6-8,11,4.09041,125.652,3.9,2017,45182,all,100.0,1.07216571,131.0,190.0,55.0,149.0,0.6895,0.36910000000000004,57.0,67.0,0.8507,4.0,95.418,89.032,4.21538,249.205,9.08058,4.44679,4.63379,8.60621,30.7714,5.12318,3.48303,2.3143000000000002,5.0571,7.3714,2.9714,1.6857000000000002,1.0571,16.3429,Wing F
47917,Ty Jerome,Virginia,ACC,37,81.8,119.1,24.1,53.2,55.5,1.8,13.0,32.6,13.3,67,91,0.736,99,211,0.46900000000000003,79,198,0.399,0.1,3.0,22.2,Jr,6-5,11,5.49393,133.551,2.0,2019,45185,all,91.4,3.31159766,44.0,69.0,55.0,142.0,0.6377,0.38730000000000003,0.0,0.0,,24.0,91.6552,87.1928,4.80957,224.28,10.7751,7.8926,2.88245,10.3669,33.9459,6.48585,3.88105,0.4595,3.7568,4.2162,5.4595,1.5405,0.027,13.5676,Scoring PG
47924,De'Andre Hunter,Virginia,ACC,38,80.4,122.9,23.5,57.9,61.78,5.6,13.4,13.0,11.8,123,157,0.783,159,289,0.55,46,105,0.438,2.4,1.2,39.8,So,6-7,12,5.6180900000000005,136.787,2.5,2019,45188,all,82.0,1.44234148,92.0,133.0,67.0,156.0,0.6917,0.4295,19.0,19.0,1.0,4.0,94.2741,89.669,4.32589,198.406,8.94868,6.29969,2.64899,9.48277,32.4737,6.9296,2.55317,1.3684,3.7105,5.0789,1.9737,0.5789000000000001,0.5789000000000001,15.2368,Wing F
48030,Malik Monk,Kentucky,SEC,38,79.9,115.7,25.1,54.3,58.59,1.1,7.2,13.3,13.3,148,180,0.8220000000000001,147,296,0.497,104,262,0.397,1.5,1.6,32.3,Fr,6-3,5,4.7918400000000005,130.158,2.4,2017,45276,all,98.0,1.14475,72.0,111.0,75.0,187.0,0.6486000000000001,0.4011,24.0,28.0,0.8571000000000001,11.0,99.9136,94.1113,3.86031,210.41,6.1421,5.18184,0.960259,7.92541,32.0526,6.16427,1.7611400000000001,0.3158,2.1842,2.5,2.2895,0.9474,0.5,19.8421,Combo G
48154,"Dennis Smith, Jr.",North Carolina St.,ACC,32,86.4,109.5,28.2,52.0,56.31,2.7,11.5,34.2,19.0,143,200,0.715,136,267,0.509,55,153,0.359,1.2,3.1,47.6,Fr,6-3,4,4.72173,126.326,2.4,2017,45392,all,98.8,1.82405924,103.0,161.0,33.0,107.0,0.6398,0.3084,22.0,22.0,1.0,9.0,107.928,102.69,3.14567,219.89,6.39739,5.8068,0.5905819999999999,6.00404,34.8125,5.3445,0.659544,0.8125,3.75,4.5625,6.1562,1.9375,0.4375,18.125,Scoring PG
48331,Jayson Tatum,Duke,ACC,29,65.3,108.9,25.4,50.7,56.61,4.9,19.7,12.4,17.7,118,139,0.849,125,248,0.504,40,117,0.342,3.2,2.3,38.1,Fr,6-8,0,4.29884,124.125,3.6,2017,45563,all,99.4,0.81577449,79.0,126.0,46.0,122.0,0.627,0.377,18.0,21.0,0.8571000000000001,3.0,96.6201,89.1819,4.59476,209.644,6.47515,3.17569,3.29946,6.71227,33.3103,4.15895,2.5533200000000003,1.3448,6.0,7.3448,2.1379,1.3448,1.1379,16.8276,Wing F
